ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0001085146-25-005269	203127	0001527781	028-14533			Gallagher Fiduciary Advisors, LLC
0001172661-25-003467	203096	0001469877	028-16918	000149653	801-69968	NEXPOINT ASSET MANAGEMENT, L.P.
0000919574-25-004895	202667	0001364412	028-13040	000161041	801-73989	H PARTNERS MANAGEMENT, LLC
0001456421-25-000012	202809		28-13438			Apollo Management Holdings, L.P.
0001140361-25-031227	202952	0001687161	028-17863			Yorktown X Associates LLC
0001140361-25-031227	202951	0001577919	028-17861			Yorktown Energy Partners X, L.P.
0001375836-25-000006	202556	0001353316	028-11815	000155551	801-72100	Hound Partners, LLC
0000950123-25-008359	202023		028-02682			UBS AM, a distinct business unit of UBS Asset Management Americas LLC
0000899140-25-000985	202831	0001305473	028-12516			Insight Holdings Group, LLC
0001418812-25-000024	202909	0001418814	028-13172			ValueAct Holdings, L.P.
0001172661-25-003462	202074	0001453072	028-13284	000155058	801-71962	Alyeska Investment Group, L.P.
0000899140-25-000984	202180	0001305473	028-12516			Insight Holdings Group, LLC
0000929638-25-003041	202933	0001959730	028-23083			Fund 1 Investments, LLC
0001641172-25-024012	202320	0001549230	028-16782	000163706	801-80018	BOOTHBAY FUND MANAGEMENT, LLC
0001641172-25-024012	202321	0002056052	028-25300	000177528	802-89175	Persistent Asset Partners Ltd
0000899140-25-000982	202299	0001305473	028-12516			Insight Holdings Group, LLC
0001214659-25-012257	202338	0001056581	028-06950			GENDELL JEFFREY L
0001214659-25-012258	202530	0001056581	028-06950			GENDELL JEFFREY L
0001214659-25-012255	202903	0001491514	028-19509			Tontine Associates, LLC
0001214659-25-012255	202902	0001536239	028-14690			Tontine Asset Management, LLC
0001214659-25-012255	202904	0001845441	028-20769			TONTINE CAPITAL ASSOCIATES, L.P.
0001214659-25-012259	202868	0001056581	028-06950			GENDELL JEFFREY L
0000950123-25-008352	202481		028-15811			HSG Holding Ltd
0000950123-25-008353	202458		028-15811			HSG Holding Ltd
0000950123-25-008351	202273		028-15811			HSG Holding Ltd
0000950123-25-008349	202272		028-15811			HSG Holding Ltd
0000950123-25-008350	202605		028-15811			HSG Holding Ltd
0000950123-25-008347	202528		028-15811			HSG Holding Ltd.
0000950123-25-008348	202603		028-15811			HSG Holding Ltd
0000919574-25-004892	202131	0001910874	028-21897	000311807	801-120071	Eschler Asset Management LLP
0000899140-25-000981	202930	0001305473	028-12516			Insight Holdings Group, LLC
0000921895-25-002284	202537	0001056807	028-06800			BVF INC/IL
0000902664-25-003621	203005	0002016939	028-24147			Evergreen Quality Fund GP, Ltd.
