ACCESSION_NUMBER	OTHERMANAGER_SK	CIK	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	NAME
0000225602-25-000013	202119	0001103653	028-15866			MassMutual Private Wealth & Trust, FSB
0000225602-25-000013	202120	0000701059	028-16947	000010409	801-44264	MML INVESTORS SERVICES, LLC
0000225602-25-000013	202114	0001606779	028-16289	000299118	802-114253	BARING ASSET MANAGEMENT Ltd
0000225602-25-000013	202121	0001606780	028-19111			Baring Asset Management Korea Ltd
0000225602-25-000013	202116	0000009015	028-00060	000106006	801-241	BARINGS LLC
0000225602-25-000013	202115	0001624302	028-16290	000108513	801-56176	BARING ASSET MANAGEMENT (ASIA) Ltd
0000225602-25-000013	202118	0001803230	028-20060			Baring SICE (Taiwan) LTD
0000225602-25-000013	202117	0001568131	028-15112	000105724	801-15160	Baring International Investment Ltd
0000895421-25-000520	202212	0000895421	028-03432			MORGAN STANLEY
0000895421-25-000519	202275	0000895421	028-03432			MORGAN STANLEY
