ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0000950123-25-008518	1	0	0	N
0001764754-25-000013	0	840	1030545209	N
0001449434-25-000008	1	54	7549199483	N
0001764754-25-000012	0	3109	4093135164	N
0001161722-25-000009	0	1138	2355087298	N
0002022843-25-000007	0	85	178532386	N
0001085146-25-005340	4	457	13469395649	N
0002034214-25-000003	0	69	111713932	N
0000935836-25-000537	0	1	0	
0001214659-25-012381	0	12	8343943	
0001962449-25-000005	0	721	3299937075	
0000929638-25-003077	0	65	271672112	
0001571075-25-000004	0	55	191950	N
0000897070-25-000009	0	102	851136451	N
0001698093-25-000007	0	29	56711166	N
0000950123-25-008508	0	1	240635185	N
0002040405-25-000036	0	1	24132600	N
0001580642-25-005196	0	168	270790360	
0001824600-25-000004	0	3	196301824	N
0001818014-25-000003	0	506	138963	N
0001663224-25-000005	0	627	278235800	N
0002067357-25-000002	5	5726	105214513958	N
0001106832-25-000006	0	275	3327453127	N
0001398344-25-015983	1	504	368623729	
0001729254-25-000004	0	538	287466007	N
0002057019-25-000003	0	81	66933	N
0002081847-25-000001	0	280	120513825	N
0001864123-25-000006	0	146	294264614	N
0001992879-25-000004	0	149	430392541	N
0001683182-25-000004	0	70	521944	N
0001597694-25-000042	0	441	79281367	
0001536411-25-000011	0	69	4071254	
0002081584-25-000007	0	540	695416290	N
0001214659-25-012366	0	503	1124313465	
0002081584-25-000006	0	554	773986463	N
0001062993-25-014525	0	48	95997354	N
0001105909-25-000003	0	143	142453646	N
0002081584-25-000005	0	597	800376131	N
0001597694-25-000041	0	106	3092362174	N
0002081584-25-000004	0	515	715287751	N
0001420506-25-002212	0	63	134501159	N
0002081584-25-000003	0	541	711028912	N
0001079112-25-000006	0	272	2454598667	
0001767040-25-000003	0	105	185305883	N
0001905669-25-000004	0	113	135834190	N
0001994495-25-000006	0	115	312796009	N
0001085146-25-005318	0	108	373301088	N
0001085146-25-005317	0	105	401573096	N
0001105909-25-000002	0	169	183521267	N
0002012673-25-000003	0	76	128274640	N
0001420506-25-002211	4	14	1830775136	N
0000950123-25-008499	0	9	1264951493	N
0002081584-25-000002	0	596	741902508	N
0001848237-25-000004	1	341	697859	N
0001765690-25-000006	0	454	965769978	N
0001765690-25-000005	0	466	947785604	N
0001705711-25-000006	0	364	456380855	N
0002050972-25-000010	0	256	301569667	
0002056532-25-000006	1	258	4856222	N
0002081584-25-000001	0	485	619066730	N
0001599863-25-000007	0	299	2445968379	N
0001105863-25-000004	0	173	680792123	N
0001587973-25-000004	0	1722	27958173828	N
0001430681-25-000003	0	94	294045	N
0001848237-25-000003	1	330	665106	N
0001845536-25-000003	0	101	233173425	N
0002056577-25-000003	0	216	117847366	N
0000887748-25-000007	0	213	280215543	N
0001699575-25-000010	0	67	311923936	N
0002054664-25-000007	0	176	162809603	N
0001905367-25-000003	0	51	115118749	N
0001554427-25-000003	0	41	128265984	N
0001922879-25-000005	0	137	452493496	N
0001653199-25-000003	0	100	508891149	N
0001159363-25-000006	0	27	17652194	N
0001398344-25-015930	0	49	55557684	
0001653202-25-000003	0	57	225289954	N
0001614986-25-000006	0	61	779253856	N
0002060308-25-000003	0	772	153704134	N
0001599620-25-000004	0	115	672515569	N
0001663224-25-000004	0	638	297539323	N
0002005378-25-000003	0	48	198961352	N
0000749044-25-000003	0	421	736434	N
0001437749-25-027092	0	431	388184248	N
0001132897-25-000007	0	9	100701670	
0001641172-25-024301	0	41	494141450	
0001116247-25-000003	0	110	176909214	N
0002035548-25-000003	0	138	256176533	N
0001346543-25-000007	0	24	292050098	N
0002009539-25-000010	3	842	255146800	N
0001104659-25-079062	0	1	0	
0001172661-25-003626	1	4851	94971593385	
0001667731-25-001133	0	125	137311804	
0000225602-25-000013	0	2	1537205253	N
0002017870-25-000005	0	1029	178938324	N
0001850901-25-000007	0	17	621566017	N
0001532155-25-000165	3	1543	12131778668	N
0001085146-25-005307	0	64	162776597	N
0001405086-25-000228	0	94	222878604	N
0000950123-25-008472	0	8	9875687961	N
0001119376-25-000008	0	13	67804	N
0000895421-25-000499	24	44865	1535086861391	N
0000950123-25-008465	0	4	75451767	N
0001667731-25-001132	0	52	140125241	
0001102578-25-000024	0	292	22184345280	N
0002072075-25-000003	0	368	193325532	N
0001999371-25-011408	0	12	158379652	
0002031554-25-000005	0	11	550760139	N
0000950123-25-008462	0	5	65721031	N
0001420506-25-002200	0	7	366302431	N
0001611519-25-000005	0	32	349663822	N
0001858699-25-000003	0	12	54415819	N
0001594591-25-000004	0	5	127042026	N
0001851869-25-000006	0	265	2253059832	
0001104659-25-078810	0	2	250616773	
0002051323-25-000011	0	672	3941325894	N
0001760540-25-000001	0	238	1028634294	N
0001600035-25-000003	0	217	1316590119	N
0001062993-25-014469	0	114	456783276	N
0001754960-25-000615	0	257	763195373	N
0001848831-25-000008	0	54	137599277	N
0001830819-25-000009	0	2815	20519359900	N
0001642274-25-000005	0	14	161535	N
0002062492-25-000005	0	32	167069688	N
0001046192-25-000013	3	2537	63089654	N
0001420506-25-002198	0	277	353389314	N
0001842296-25-000003	0	394	2097695043	N
0001454502-25-000009	1	10	884602	N
0001405086-25-000226	0	6	372286355	N
0000950123-25-008452	7	107	83949850115	N
0001062993-25-014473	0	2506	44819019584	N
0001172661-25-003548	0	37	710643112	
0001802630-25-000008	0	95	1510110641	N
0001764756-25-000005	0	19	1891949063	N
0001085146-25-005303	0	17	2454620372	N
0001830819-25-000010	0	897	3191805520	N
0001085146-25-005305	0	14	145814510	N
0001839498-25-000004	0	39	233274010	N
0001437749-25-027043	0	169	163190055	N
0001214659-25-012294	0	90	124446277	
0002027344-25-000009	1	1	192821353	
0001104659-25-078844	0	193	445544673	
0001386935-25-000004	0	517	1512461092	N
0001694126-25-000005	1	736	2117198000	N
0001941040-25-000491	0	58	334265342	
0001067926-25-000008	0	42	1358543081	N
0001986042-25-000017	0	427	135825670	N
0001420506-25-002193	0	138	432272985	N
0001701717-25-000014	0	9	1786979135	N
0001632801-25-000005	0	162	1227462076	N
0001178913-25-002938	2	82	1818794610	
0001461945-25-000003	0	20	173274012	N
0001172661-25-003562	0	148	167956168	
0001932363-25-000002	0	421	696162899	N
0001609251-25-000006	0	15	188935	N
0001420506-25-002191	0	190	282368919	N
0001405086-25-000223	2	8	17875011	N
0000950123-25-008451	3	1	2240779050	N
0001693745-25-000004	0	14	580990646	N
0001533421-25-000013	3	7722	3708478572	N
0001423296-25-000008	0	155	1031647439	N
0001172661-25-003561	0	24	965436307	
0001214659-25-012296	0	61	336451931	
0001085146-25-005304	0	142	451945127	N
0001445893-25-000004	0	165	168614597146	
0001598350-25-000005	0	5	1769114762	N
0000950123-25-008453	0	21	962647547	N
0002011850-25-000006	0	117	208607037	N
0001906793-25-000004	0	109	415947631	N
0001859677-25-000008	0	107	334796218	N
0001765380-25-000377	0	67	117596080	N
0001420506-25-002196	0	40	1587757696	N
0001729847-25-000004	0	144	365246709	N
0001042063-25-000010	0	21	449158	N
0001667731-25-001131	1	21	256592893	
0001214659-25-012291	0	38	875508102	
0001536444-25-000004	0	103	254291367	N
0002051568-25-000006	0	348	148995338	N
0001569550-25-000003	0	143	114325974	
0001913545-25-000008	0	52	145117406	N
0001986042-25-000016	0	160	69070055	N
0001172661-25-003542	0	127	320594651	
0001564702-25-000025	0	676	1767981571	N
0002057602-25-000004	0	109	144195890	N
0001420506-25-002189	0	99	132877935	N
0001909089-25-000009	0	67	311923936	N
0001540866-25-000007	0	13	328737613	N
0001405086-25-000222	0	115	2177955980	N
0001908965-25-000004	0	213	149665385	N
0001172661-25-003539	4	621	2654827611	
0001172661-25-003538	0	57	122414887	
0001739439-25-000022	4	3211	45600039819	
0000950123-25-008439	1	205	4464456987	N
0001222993-25-000003	0	185	2004592661	N
0001104659-25-078772	0	63	2410892994	
0000850401-25-000019	8	634	12763638098	N
0001076809-25-000097	0	254	2795993	
0001091860-25-000008	0	446	192756807	N
0001908938-25-000004	0	624	1292472781	N
0001080171-25-000015	0	483	3679464915	N
0001653169-25-000006	0	250	483945194	N
0001765380-25-000376	0	319	1732278285	N
0001306923-25-000016	0	45	469996676	N
0000720005-25-000073	13	15750	290499498174	N
0001663224-25-000002	0	610	288987782	N
0001085146-25-005302	0	65	670568559	N
0001140361-25-031304	1	6	541287445	
0001273087-25-000029	1	481	20131289779	N
0001502149-25-000023	1	567	1065466831	N
0001013594-25-001045	2	30	17593419802	Y
0001909393-25-000005	0	10	142795204	N
0001013594-25-001044	0	15	2011116980	
0000950123-25-008437	7	100	75375252036	N
0001592178-25-000007	0	48	209838021	N
0000947871-25-000776	0	7	280766273	
0001085146-25-005301	0	154	491518424	N
0000947871-25-000775	0	251	6659687348	
0001104659-25-078758	0	1345	116925873833	
0001543170-25-000008	1	9	2710411628	N
0001656187-25-000009	0	43	3287446664	N
0001085146-25-005300	0	33	104904669	N
0001062993-25-014452	0	48	4575906177	N
0001104659-25-078755	4	1339	1560663512	
0001172661-25-003528	0	646	13243448366	
0001420506-25-002188	0	17	520168469	N
0001104659-25-078749	3	16	600910833	
0001273087-25-000028	2	5805	207076085220	N
0001214659-25-012284	0	16	907884300	
0001140361-25-031297	0	478	46839579984	
0001345471-25-000028	3	11	3791909471	N
0000950123-25-008436	0	46	1122593493	N
0002027344-25-000008	0	6	691405307	N
0001486946-25-000005	0	127	913413251	N
0001849457-25-000003	0	16	697807049	N
0002050972-25-000009	0	132	138710133	N
0000902664-25-003692	0	18	318096322	
0001398344-25-015751	0	305	303525906	
0001103882-25-000008	1	97	682300877	N
0001595888-25-000117	6	13538	505635208488	N
0001415889-25-021935	1	231	61501169028	N
0001140361-25-031296	0	10	17415776	Y
0001103804-25-000007	0	83	34589864590	N
0001798849-25-000010	0	44	13205325975	
0000905148-25-002968	0	10	4298213177	
0001929328-25-000004	0	39	106449	N
0001062993-25-014449	0	339	2798937997	N
0001854440-25-000011	0	14	3141637313	N
0002073679-25-000003	0	382	4710431394	
0001172661-25-003522	1	691	1498790011	
0001081019-25-000018	0	2958	90044118679	N
0000904454-25-000430	0	8	1069974552	
0000905148-25-002967	0	6	94230195	
0001104659-25-078732	0	28	71638466	
0001112520-25-000019	1	19	10210810464	
0001085146-25-005299	0	190	662277508	N
0001740140-25-000005	0	171	269656457	N
0001911286-25-000003	0	2	872922	N
0001420506-25-002187	0	8	355479048	N
0001907054-25-000005	0	177	243565555	N
0001172661-25-003521	0	277	2882326580	
0001415889-25-021914	0	31	1334436576	N
0001867731-25-000007	0	67	230198853	N
0001838556-25-000005	0	62	282417114	N
0001840735-25-000017	0	7	2663678010	N
0001420506-25-002186	0	97	289303732	N
0001568280-25-000004	1	106	2353764138	N
0002018973-25-000009	0	11	243617498	N
0000905148-25-002966	0	20	4768008084	
0000899140-25-000999	0	30	1782262809	
0001346554-25-000068	0	363	7414455217	
0001050442-25-000021	0	64	5229335628	N
0001774207-25-000004	0	90	198024478	N
0001415889-25-021911	0	1	677698110	N
0000947871-25-000769	4	58	12417757938	
0000902664-25-003688	0	43	675506871	
0000905148-25-002965	0	32	49996986	
0000950123-25-008431	0	44	577150843	N
0000950123-25-008430	0	5	43346216	N
0001415889-25-021908	0	29	488945395	N
0001768757-25-000010	0	48	3603662264	N
0001755535-25-000007	0	1	0	
0000902664-25-003686	0	19	3081999312	
0001012975-25-000452	8	7	2053758064	N
0001415889-25-021904	0	5	169662162	N
0001172661-25-003520	0	19	171888746	
0000947871-25-000768	0	4	29166698	
0000905148-25-002963	0	1	0	Y
0001172661-25-003519	0	50	206265409	
0001546172-25-000007	0	42	269552299	N
0000905148-25-002962	0	4	703011333	
0001214659-25-012283	0	308	2100125302	
0001415889-25-021900	0	6	23615986	N
0001140361-25-031284	2	3	115017868	
0001140361-25-031280	2	2	57482232	
0001140361-25-031278	2	3	55343521	
0001880562-25-000008	0	102	38972870	N
0000905148-25-002959	0	43	3569545720	
0000950123-25-008429	1	1	49865	N
0001415889-25-021897	0	4	44996034	N
0001904677-25-000006	0	81	117512981	N
0001999371-25-011375	0	38	771311137	
0001214659-25-012281	0	23	370927357	
0001974312-25-000010	0	60	547327947	Y
0001172661-25-003517	0	2	35958258	
0001172661-25-003516	0	6	381657054	
0001851813-25-000005	0	6	902807536	N
0002043585-25-000010	0	9	2689202442	N
0001104659-25-078700	0	158	2552295036	
0001172661-25-003514	1	103	4004110774	
0001415889-25-021889	0	29	1416573929	N
0001831942-25-000008	0	33	1416719296	N
0002037231-25-000010	0	39	226810982	N
0000950123-25-008426	0	5	73186158	N
0001999371-25-011373	1	119	1006681	
0001911348-25-000005	0	12	106739454	N
0000919574-25-004911	1	12	1226998597	
0000950123-25-008425	0	2	26756753	N
0001085146-25-005298	1	61	751333526	N
0001420506-25-002184	0	23	96385307	N
0000905148-25-002957	1	26	968217530	
0001750183-25-000014	0	2	1119572	N
0001985479-25-000008	0	28	451936647	
0001104659-25-078691	0	64	5935681007	
0000921895-25-002304	0	10	47143514	
0001892688-25-000160	0	11	299576505	N
0001415889-25-021886	0	7	184154231	N
0000902664-25-003683	0	14	365928771	
0001172661-25-003513	0	56	2260433679	
0001420506-25-002183	0	55	2923924032	N
0002073679-25-000002	0	19	631393046	N
0002037077-25-000008	0	14	233087497	N
0001172661-25-003512	0	1	607500000	
0000950123-25-008422	0	13	461375729	N
0000902664-25-003682	0	19	1392389581	
0000905148-25-002955	0	6	1076821880	
0000921895-25-002303	3	19	865087374	
0001731530-25-000006	0	35	280629354	N
0000950123-25-008420	0	43	412109822	N
0001172661-25-003509	0	11	13729120533	
0000905148-25-002954	0	46	628086379	
0001904432-25-000004	0	117	166097858	N
0001104659-25-078671	0	85	2351643000	
0000950123-25-008419	1	24	120180084	N
0000919574-25-004906	2	54	1862152168	
0001415889-25-021882	0	16	528393402	N
0000919574-25-004905	1	8	1072215258	
0001398344-25-015691	0	240	358512724	
0000905148-25-002952	0	3	26000032	
0001095449-25-000063	0	931	876057804	N
0001011438-25-000452	0	10	135387251	
0000902664-25-003680	0	275	442276668	
0001104659-25-078662	0	66	6619896192	
0000905148-25-002950	1	721	2322918466	
0001911132-25-000005	0	1	368830800	N
0001711200-25-000003	0	102	359927521	N
0001786767-25-000005	0	9	2219182792	N
0001363829-25-000154	1	13	271825139	N
0001140361-25-031254	0	147	369646910	
0001140361-25-031255	0	96	15414652915	
0001104659-25-078660	4	34	1955780098	
0001214659-25-012278	0	44	1322209861	
0000905148-25-002949	0	1	1961236	
0000950123-25-008414	8	11	1257871720	N
0000905148-25-002948	2	13	1632848160	
0001012975-25-000450	4	38	3972725286	N
0001172661-25-003507	0	13	567276782	
0001578242-25-000003	0	220	4622798181	N
0001415889-25-021878	0	6	238792410	N
0000905148-25-002945	2	228	3558024720	
0001904388-25-000006	0	109	384696184	N
0002034793-25-000005	0	231	209166525	N
0001799456-25-000007	0	20	570281531	N
0001829805-25-000009	0	1	0	Y
0001415889-25-021875	0	2	43975362	N
0001172661-25-003503	0	17	600646333	
0000919574-25-004903	0	33	1098157889	
0001999371-25-011364	0	9	1876001628	
0000905148-25-002941	4	1894	17272780401	
0000905148-25-002940	0	20	574475992	
0001420506-25-002181	0	133	520629177	N
