ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0001013594-25-001025	0	30	164030310	
0001802131-25-000006	0	0	0	N
0002054921-25-000005	0	311	112924748	N
0000935836-25-000505	0	12	943053513	
0001420506-25-002082	0	88	870093347	N
0001420506-25-002080	0	130	2271416989	N
0000935836-25-000504	0	11	107708071	
0001172661-25-003347	0	89	146998381	
0001213900-25-076212	0	7	104254973	
0001213900-25-076211	0	4	119705039	
0000950123-25-008151	1	1	47194579	N
0000950123-25-008150	0	499	963671358	N
0001123292-25-000364	1	14	1280204668	
0000935836-25-000503	1	34	1827018745	
0001172661-25-003346	0	81	766335793	
0001737109-25-000006	25	1901	9968144060	N
0001085146-25-005106	0	481	1147774813	N
0001132716-25-000022	0	4	1006262183	
0001085146-25-005105	0	40	181196057	N
0001420506-25-002077	0	421	297515581	N
0001420506-25-002076	0	27	610220202	N
0001172661-25-003345	0	237	792458768	
0001601407-25-000004	0	31	3627286268	N
0001858353-25-000007	0	19	367900334	N
0001213900-25-076202	0	113	238486816	
0001472850-25-000007	0	12	912980016	N
0001420506-25-002072	0	12	2021570265	N
0001802893-25-000004	0	19	98665716	N
0001765380-25-000374	0	235	739596315	N
0001724140-25-000014	0	17	560855633	
0001085146-25-005104	15	4322	204020843964	
0001013594-25-001022	0	20	7850255	
0002010710-25-000005	0	133	370570354	N
0001085146-25-005103	0	48	207325637	N
0001540531-25-000006	0	17	945508364	N
0001520710-25-000007	0	205	988582942	N
0001085146-25-005102	0	0	0	N
0001085146-25-005101	0	0	0	N
0001172661-25-003344	0	18	37817584	
0001085146-25-005100	0	0	0	N
0001085146-25-005099	0	0	0	N
0001172661-25-003343	0	27	651188046	
0002026079-25-000004	0	3	808437377	N
0001172661-25-003342	0	20	252625641	
0001085146-25-005098	0	0	0	N
0001420506-25-002068	0	38	2829586827	N
0000919574-25-004794	3	452	712674272	
0000945621-25-000769	0	975	1028365365	
0001420506-25-002066	0	76	406800833	N
0001172661-25-003341	0	1	45419121	
0000021175-25-000078	3	14	194902733	N
0001172661-25-003340	0	4	222781213	
0001132716-25-000021	0	8	1320512956	
0001104659-25-078246	0	18	4034419051	
0001172661-25-003339	0	24	456639333	
0000728083-25-000009	0	37	367385545	N
0001420506-25-002063	0	25	126067101	N
0001844640-25-000010	2	4418	96176128569	N
0001910592-25-000006	0	120	386094303	N
0001172661-25-003338	0	43	5800170883	
0001041062-25-000162	4	5589	86271329817	N
0001767730-25-000005	0	144	408679	N
0001172661-25-003337	0	110	645122584	
0001172661-25-003336	0	8	200099229	
0001445911-25-000021	0	296	745983	N
0001308527-25-000004	0	282	5537546282	N
0001420506-25-002061	0	64	1235939225	N
0001172661-25-003335	0	26	876024256	
0001104659-25-078238	6	14	1469130098	
0000899140-25-000953	5	2300	48800428702	
0000060086-25-000170	0	28	12055068614	N
0001085146-25-005096	0	441	1495555934	N
0001062993-25-014370	0	111	1743983571	N
0001837343-25-000005	0	20	2021929105	N
0001172661-25-003334	0	7	1283415464	
0001595077-25-000009	0	32	408227678	N
0001633799-25-000011	0	67	2739128541	
0001420506-25-002058	0	12	121944334	N
0001420506-25-002057	0	136	588278400	N
0001990467-25-000006	0	302	726018855	N
0001665518-25-000002	0	107	335731	N
0000904454-25-000424	0	9	690912275	
0001806755-25-000005	0	223	2617752524	N
0001568621-25-000010	0	24	652810405	N
0001062993-25-014368	0	2313	40977094234	N
0001172661-25-003333	0	64	674266633	
0001104659-25-078222	0	77	330554237	
0001718251-25-000010	0	185	220171525	N
0001172661-25-003332	0	30	699689347	
0001013594-25-001021	0	4	172175519	
0000950123-25-008144	0	225	3360962401	N
0001172661-25-003331	0	190	2106066648	
0002010204-25-000003	0	23	1747932682	N
0000950123-25-008142	1	543	2015536818	N
0001085146-25-005095	0	438	4175718511	N
0001172661-25-003330	0	85	272456721	
0002009520-25-000005	0	11	291499262	N
0001132716-25-000020	0	12	2103095042	
0001085146-25-005094	0	83	897270827	N
0001420506-25-002053	0	15	293339870	N
0001927724-25-000005	0	172	148011804	N
0001085146-25-005093	0	16	1106366723	N
0001398344-25-015458	1	2774	19765717662	
0001085146-25-005092	0	68	14864118278	N
0001420506-25-002051	0	18	248657941	N
0001420506-25-002050	0	76	168661716	N
0001085146-25-005091	0	10	11533751094	N
0002056100-25-000003	0	181	132485	N
0001085146-25-005090	0	1	0	N
0001665077-25-000005	0	11	198620257	N
0001085146-25-005089	0	0	0	N
0001085146-25-005088	0	0	0	N
0002001900-25-000021	9	2162	4006154478	N
0001085146-25-005087	12	60	706249833	
0001420506-25-002047	0	9	336120000	N
0000950142-25-002176	0	15	3629524404	
0000904454-25-000420	2	44	1666796524	
0001106565-25-000008	0	194	2351686584	N
0001481986-25-000039	4	1089	4421674820	N
0001085146-25-005086	0	0	0	N
0001420506-25-002046	0	4	2052289976	N
0001085146-25-005085	0	0	0	N
0001085146-25-005084	0	0	0	N
0001104659-25-078208	0	9	5477355057	
0001085146-25-005083	0	0	0	N
0001085146-25-005082	0	0	0	N
0001085146-25-005081	0	0	0	N
0001085146-25-005080	0	0	0	N
0001085146-25-005079	0	0	0	N
0002071170-25-000025	0	573	236076531	N
0001085146-25-005078	0	0	0	N
0001420506-25-002044	0	8	145945692	N
0001085146-25-005077	0	35	536028271	N
0000919574-25-004789	1	18	307732447	
0001085146-25-005076	0	2114	8038229941	N
0001140361-25-031079	0	68	693915864	
0001085146-25-005075	0	10	1761515910	N
0001085146-25-005074	0	1180	4213610004	N
0001717479-25-000004	0	286	943212	N
0001600698-25-000014	0	18	190886613	
0001172661-25-003327	2	49	1339747354	
0000701059-25-000016	0	2802	34645395	N
0001420506-25-002040	0	147	410259338	N
0001103887-25-000006	0	56	1901729	N
0001904373-25-000007	0	20	115440682	N
0001357550-25-000027	2	409	8661825018	Y
0000938206-25-000037	0	416	12498354184	
0001590729-25-000009	0	2	353953176	N
0000902219-25-000356	10	7478	550984088288	N
0001398344-25-015451	2	696	1704942216	
0001357550-25-000026	2	1	39295858	
0001172661-25-003325	0	64	41653776355	
0001420506-25-002037	0	352	5896076488	N
0001420506-25-002036	0	578	377278433	N
0000919574-25-004780	2	60	431624794	
0001172661-25-003324	0	4	233070450	
0001132716-25-000019	0	354	1952323692	Y
0002052308-25-000006	0	71	175485391	N
0001062993-25-014366	0	602	2102303050	N
0001814554-25-000080	0	4	472552760	
0001213900-25-076165	0	3995	19394688980	
0001892688-25-000149	0	96	328219079	N
0001178913-25-002913	2	131	17389381416	
0001134007-25-000009	1	123	1294267054	N
0001172661-25-003322	1	164	723376402	
0001398344-25-015448	0	75	255244285	
0001140361-25-031075	1	54	224395261	
0001104883-25-000010	0	59	689849547	N
0001420506-25-002033	0	54	311575076	N
0001013594-25-001017	0	58	2212499230	
0001172661-25-003320	0	89	149707359	
0001665337-25-000006	11	647	509085565	N
0001951757-25-001090	0	8	64584718	N
0000936753-25-000065	2	199	8822290087	N
0001848809-25-000005	0	53	101235881	N
0001420506-25-002032	0	4	55146380	N
0001951757-25-001089	0	79	102446819	N
0001844640-25-000007	0	27	22436779	N
0001570271-25-000011	0	1142	835155923	N
0001062993-25-014363	0	73	90357850	N
0001892688-25-000148	0	23	1112762098	N
0001672355-25-000007	0	28	632040475	N
0001013594-25-001015	0	3	581070374	Y
0001398344-25-015447	0	82	301221420	
0001172661-25-003319	0	138	557486482	
0001172661-25-003318	0	35	866801595	
0001162044-25-000813	0	20	110784145	
0001013594-25-001014	0	3	467931068	
0001420506-25-002029	0	8	126332680	N
0001013594-25-001013	0	3	568153338	
0002044001-25-000002	0	166	266008	N
0001104659-25-078187	0	1	0	
0001162044-25-000812	0	102	285837349	
0001172661-25-003317	0	166	392633449	
0001892688-25-000147	0	20	193245042	N
0001599814-25-000007	0	28	910773628	N
0001944755-25-000005	0	239	308953226	N
0001172661-25-003316	0	20	109613737	
0001849517-25-000010	0	19	390464870	N
0000891836-25-000050	0	1	0	Y
0001178913-25-002909	1	12	541928	
0001420506-25-002028	0	23	1706030013	N
0001426486-25-000006	0	45	1867437060	N
0002073679-25-000001	0	23	113336178	N
0001535943-25-000011	0	166	549232181	N
0001980273-25-000004	0	62	360853712	N
0001172661-25-003314	0	935	1174990291	
0001844103-25-000010	0	3	118359653	N
0001104659-25-078184	0	275	2112510110	
0001172661-25-003312	2	58	235017395	
0001172661-25-003311	0	294	10801284212	
0001172661-25-003310	3	1667	3325552241	
0001420506-25-002025	0	55	169117221	N
0001172661-25-003309	1	146	272132045	
0001214659-25-012059	0	15	8912360542	
0001437749-25-026720	1	25	131199023	Y
0001376474-25-000745	0	51	897013263	
0001172661-25-003308	0	145	760623476	
0001172661-25-003307	0	62	109205224	
0002005134-25-000008	0	29	206643582	N
0001565332-25-000008	0	17	3010030754	N
0000897069-25-001327	0	35	310576906	
0001776090-25-000005	0	15	1180273171	N
0001104659-25-078176	0	10	1564404250	
0000950123-25-008124	0	376	16290614416	N
0001705712-25-000007	0	4	262197181	N
0000902664-25-003588	0	25	18939394383	
0001323953-25-000018	0	20	2469834577	N
0000919574-25-004762	0	11	9853130	Y
0001011438-25-000429	10	424	18936673400	
0001803194-25-000005	0	9	123978434	N
0001172661-25-003306	0	154	931325120	
0001214659-25-012057	0	20	2395023654	
0001632833-25-000004	0	1	171972297	N
0001398344-25-015429	3	1256	9111734981	
0001845660-25-000004	0	26	110433257	N
0001172661-25-003304	2	270	19105821490	
0000945621-25-000765	5	270	3625188456	
0001172661-25-003302	0	1	1550562385	
0001970465-25-000008	0	150	661098942	N
0001393825-25-000062	1	1444	29446119595	
0001172661-25-003301	0	187	940606460	
0001172661-25-003299	0	21	3122706435	
0001172661-25-003297	0	81	198169733	
0001012975-25-000442	0	3	236062061	N
0000950123-25-008117	2	12	454919116	N
0001214659-25-012055	0	15	4809029146	
0001385642-25-000009	0	25	331629758	
0001172661-25-003295	0	134	3951404864	
0001398344-25-015425	2	6	208524113	
0001172661-25-003291	0	17	1188305746	
0001172661-25-003290	0	39	5041735546	
0001172661-25-003289	0	98	3317228054	
0001172661-25-003288	0	15	2015879892	
0001856083-25-000004	0	66	3118189972	N
0001214659-25-012051	0	28	1953645784	
0000950123-25-008111	12	22017	577633314592	N
0001420506-25-002021	0	39	410062650	N
0001172661-25-003287	0	12	398858237	
0001420506-25-002020	0	326	661344469	N
0001172661-25-003286	0	238	9419877593	
0000950123-25-008110	0	234	453869597	N
0002011335-25-000003	0	37	1170672100	N
0001172661-25-003285	0	1	326395843	
0001420506-25-002018	0	60	5745146948	N
0001420506-25-002017	0	1	0	N
0001644187-25-000007	0	119	1106887110	N
0001172661-25-003284	0	51	903799594	
0001085146-25-005068	0	69	301408563	N
0001104659-25-078162	1	179	5099567730	
0001999371-25-011302	0	1077	30313302120	
0001172661-25-003283	0	66	191712441	
0001420506-25-002013	0	7	4070171	N
0001277372-25-000002	2	511	1909778626	N
0001420506-25-002011	1	16	378480020	N
0001085146-25-005067	0	56	153404521	N
0002079571-25-000002	0	185	211889637	N
0001172661-25-003282	0	8	248673856	
0000919574-25-004749	1	11	550592886	
0001455915-25-000004	0	1040	5998523894	N
0001172661-25-003280	0	25	254334894	
0001172661-25-003279	1	843	59346133871	
0001214659-25-012049	0	10	6114406743	
0001085146-25-005066	0	0	0	N
0001085146-25-005065	1	134	1522318063	N
0001420506-25-002009	0	65	542919135	N
0001172661-25-003278	0	33	7203884183	
0001398344-25-015416	1	127	1963767277	
0001398344-25-015414	0	50	183256760	
0001398344-25-015412	0	153	2456765650	
0001398344-25-015410	0	3	2152935	
0001398344-25-015409	1	104	239927206	
0001398344-25-015407	0	16	167776423	
0001398344-25-015405	0	174	17674038313	
0001398344-25-015403	0	415	14415280033	
0001398344-25-015404	0	9	120699674	
0001398344-25-015402	2	184	51920364015	
0001172661-25-003277	0	39	55284543	
0001398344-25-015399	0	110	351839772	
0001398344-25-015398	0	163	1625758668	
0000902664-25-003587	0	10	1991086576	
0001398344-25-015397	0	291	5725406016	
0001398344-25-015396	0	21	339598418	
0001398344-25-015395	0	37	101962818	
0000950123-25-008095	0	1	130897907	N
0001398344-25-015392	0	131	170087411	
0001398344-25-015390	0	26	1218352091	
0001398344-25-015391	0	550	1420229374	
0001398344-25-015394	0	10	1115187507	
0001398344-25-015393	0	54	70462205	
0000950123-25-008096	0	2	198368121	N
0000950123-25-008097	0	1	1354629290	N
0000950123-25-008092	0	1	183477369	N
0000950123-25-008090	0	23	628781325	N
0000950123-25-008094	0	2	77675926	N
0000950123-25-008091	1	3	85257828	N
0001172661-25-003276	1	14	338157471	
0001172661-25-003275	0	33	3147191493	
0001172661-25-003274	0	75	153647854	
0001172661-25-003273	0	93	1604789362	
0001013594-25-001006	0	55	165392994	
0001172661-25-003271	0	12	1049638401	
0001013594-25-001005	0	30	584667159	
0001420506-25-002007	0	0	0	N
0001729829-25-000050	0	3505	98415069591	N
0001062993-25-014357	0	346	2954540368	N
0001013594-25-001004	0	1	0	
0001768041-25-000004	0	17	1175504442	N
0001172661-25-003265	0	22	849211015	
0001647251-25-000009	0	10	50706910931	N
0001013594-25-001003	0	40	122124225	
0001213900-25-076093	0	31	712146315	
0001999371-25-011301	0	646	6859999288	
0001420506-25-002005	0	17	129935291	N
0001667731-25-001116	0	77	70217395	
0001172661-25-003259	1	442	456399456	
0000898427-25-000018	6	2672	34811332054	N
0001420506-25-002003	0	6	167453864	N
0001012975-25-000441	0	1	131515776	N
0001872787-25-000006	0	53	301883746	N
0000950123-25-008072	0	82	454236237	N
0000950157-25-000672	3	1	31926400	Y
0001172661-25-003257	0	27	1040469290	
0002079571-25-000001	0	200	249307942	N
0001420506-25-002001	0	0	0	N
0001420506-25-001999	1	57	580768417	N
0002061470-25-000005	0	1	2231266374	N
0001999371-25-011297	0	2	842445	
0000950123-25-008067	0	11	416379857	N
0001172661-25-003256	0	128	367009774	
0000908834-25-000253	0	362	1313444247	
0000950123-25-008066	0	13	154437217	N
0000908834-25-000252	0	276	1984665074	
0000908834-25-000251	0	153	1424082939	
0001420506-25-001997	0	8	355479048	N
0000908834-25-000250	0	2	548044175	
0001172661-25-003255	0	1	471864096	
0001420506-25-001995	0	82	186489840	N
0000908834-25-000248	0	141	23178105570	Y
0001172661-25-003254	1	119	186888568	
0000908834-25-000247	0	7	2225784880	
0000908834-25-000246	0	6	2305844230	
0000908834-25-000245	0	5	1193805550	
0000908834-25-000244	0	4	1221063600	
0000908834-25-000243	0	6	1453885890	
0001172661-25-003253	0	72	1092288420	
0000950142-25-002167	0	10	8553219	
0001493215-25-000007	0	73	7021315119	N
0001172661-25-003252	0	182	4813887193	
0002078832-25-000005	0	34	95382143	N
0001104659-25-078131	0	4	19196504	
0001104659-25-078127	0	30	5710277507	
0001214659-25-012047	0	1992	13033346956	
0001214659-25-012042	1	3	194567603	
0001214659-25-012046	0	150	956176756	
0001214659-25-012045	0	11	186966342	
0001214659-25-012044	0	118	400636824	
0000950123-25-008060	3	12	369155175	N
0001213900-25-076052	0	1	1145402012	
0001213900-25-076053	1	111	1574417655	
0002078832-25-000004	0	27	73144283	N
0001172661-25-003248	0	8	673286713	
0000897101-25-000467	1	524	4684288	
0000093751-25-000521	11	4260	2668089319996	N
0001085146-25-005060	0	27	1035370574	N
0001172661-25-003247	1	96	1318618728	
0001104659-25-078119	0	41	1312695099	
0001481045-25-000007	4	1753	27093521	N
0001172661-25-003246	0	426	1063151452	
0002078832-25-000003	0	27	181874894	N
0001848809-25-000004	0	9	175936947	N
0001834913-25-000003	0	43	191386948	N
0001884716-25-000005	0	13	49320250	N
0000950123-25-008034	23	6	3136155179	N
0002071170-25-000021	0	658	355641302	N
0002071170-25-000020	0	654	293285242	N
0001801547-25-000008	0	39	23016527870	N
0000902664-25-003586	0	71	17599663418	
0002071170-25-000019	0	627	303042730	N
0002071170-25-000018	0	582	275099166	N
0001661580-25-000006	0	295	12435124	N
0002071170-25-000017	0	564	267907857	N
0000950123-25-008009	0	838	14886425369	N
0000902664-25-003584	0	1	0	Y
0000950123-25-008007	0	556	1702338549	N
0001104659-25-078074	0	7	568913830	
0001104659-25-078072	0	104	2637866915	
0001801547-25-000007	0	26	7385809681	N
0001104659-25-078065	1	43	55146250	
0002071170-25-000016	0	558	217965384	N
0000950123-25-008001	0	1	2734986	Y
0000950123-25-007996	4	2	123899218	N
0000950123-25-007997	0	14	226478856	N
0000950123-25-007999	4	577	41673086478	N
0000950123-25-007994	0	20	4899068860	N
0000950123-25-007990	2	113	35738360	N
0000950123-25-007987	0	1	266642409	N
0000950123-25-007983	2	2	217467423	N
0002071170-25-000015	0	389	83795437	N
0000950123-25-007978	2	1	78917189	N
0002003159-25-000003	0	0	0	
0000950103-25-010286	0	116	4497408654	
0002071170-25-000014	0	374	84643545	N
0001213900-25-076010	0	4	238134281	
0001104659-25-078038	0	97	2471489536	
0001104659-25-078036	0	145	1312925470	
0001861244-25-000006	1	8	272340	N
0001104659-25-078025	0	2	115253255	
0001104659-25-078013	0	5	129909009	
0001104659-25-078012	3	3	3001791	Y
0002014039-25-000006	0	15	512318703	N
0000950103-25-010284	1	2	29400702	
0000950123-25-007962	0	41	3444966415	N
0000950123-25-007960	2	443	54535716	N
0002008306-25-000003	0	25	282749118	N
0001104659-25-077998	0	7	206756971	
0001641172-25-023683	3	1	2002515048	
0001842785-25-000010	0	8	766396897	N
0002071170-25-000013	0	338	68721336	N
0001104659-25-077983	1	3	5255222025	
0001778131-25-000005	0	739	10159025	N
0001650258-25-000005	0	24	304143867	N
0001732539-25-000012	0	21	1000991885	N
0000950103-25-010281	3	5	2024238360	
0001104659-25-077976	0	4	50085514	
0001104659-25-077966	0	3	43134425	
0002071170-25-000012	0	349	96614711	N
0001641172-25-023674	1	10	12614836435	
0001104659-25-077958	30	131	26156322215	
0001612063-25-000010	1	807	1957099243	
0001104659-25-077950	0	2	7651480	
0001641172-25-023672	0	1	353146500	
0001104659-25-077949	0	1	142624960	
0001104659-25-077946	0	3	104098141	
0002040608-25-000004	0	9	399440349	N
0000950123-25-007940	0	15	91275131	N
0000950123-25-007937	0	501	250894813	N
0001104659-25-077930	0	2	1755813286	
0001214659-25-012024	0	148	7161278554	
0001104659-25-077906	0	2	397042694	
0001104659-25-077896	1	59	359634893	
0001713269-25-000004	0	12	394969935	N
0001104659-25-077836	0	1	59119457	
0001104659-25-077829	2	28	1871536343	
0001768111-25-000012	0	27	151153996	N
0000919574-25-004649	2	57	115098856	
0001560717-25-000006	1	1143	6316677701	N
0000919574-25-004667	1	13	1569718514	
0001715228-25-000003	0	90	265175644	N
0001601348-25-000004	0	916	406758362	N
0000919574-25-004664	4	302	1253942445	
0001214659-25-012018	0	86	3188125552	
0001763146-25-000004	0	229	656201363	N
0000919574-25-004697	2	12	5114930727	
0001951757-25-001087	0	55	123101022	N
0000919574-25-004679	1	22	310666711	
0001986152-25-000066	0	113	247086904	N
0001213900-25-075901	0	42	977105491	
0000919574-25-004653	0	41	432108077	
0001085146-25-005043	0	26	181347331	N
0001214659-25-012016	0	21	158806980	
0001420506-25-001983	0	78	320667971	N
0001986152-25-000065	0	83	276610660	N
0001029311-25-000009	0	115	661604962	
0000919574-25-004703	0	136	1567741298	
0001448793-25-000008	0	3	205328398	N
0000919574-25-004654	0	24	1073258591	
0000919574-25-004645	1	17	872794797	
0001389958-25-000020	4	2969	54059459853	N
0001802695-25-000007	1	15	397389975	N
0001513126-25-000005	0	137	2369765	N
0001600636-25-000003	1	92	291937	N
0000919574-25-004636	1	18	115111488	
0001951757-25-001088	0	87	173888205	N
0002067071-25-000003	0	24	124822165	N
0001420506-25-001985	0	214	86602712	N
0000919574-25-004635	0	4	220958086	
0001802984-25-000006	0	568	1957847901	N
0001632118-25-000008	0	31	220835009	N
0000919574-25-004693	1	14	1030333399	
0001759004-25-000002	2	823	4203845873	N
0001104659-25-077667	0	180	361810882	
0000919574-25-004678	0	17	327536683	
0001986152-25-000063	0	370670	60	N
0001172661-25-003239	0	472	30834332652	
0000919574-25-004631	0	62	159524667	
0000919574-25-004672	0	35	654609017	
0001632844-25-000005	0	526	142621172	N
0001172661-25-003245	0	46	45383400	
0000950123-25-007873	0	106	694669320	N
0000919574-25-004671	1	24	20483507	
0001317947-25-000007	0	6	275526299	N
0000919574-25-004668	0	30	175217044	
0000950123-25-007878	0	6340	25765109021	N
0001772715-25-000006	2	1299	490731418	N
0001213900-25-075933	0	21	301816471	
0001626116-25-000004	9	1684	1866467777	N
0001275218-25-000004	1	1167	4774014	N
0000919574-25-004682	0	15	232154499	
0002058093-25-000006	0	29	451527969	N
0001140361-25-030943	0	1	0	Y
0001420506-25-001987	0	50	107206668	N
0000919574-25-004637	0	6	768380205	
0000732847-25-000014	0	83	367202179	N
0001695459-25-000006	0	2	2357385328	N
0001172661-25-003236	0	185	3742731063	
0002076107-25-000004	0	20	180476277	N
0001086763-25-000012	2	566	2698647584	
0001420506-25-001981	0	376	770158989	N
0000919574-25-004648	0	523	16876128352	
0001802879-25-000004	0	107	241206	N
0000919574-25-004676	3	36	100627704	
0001214659-25-012008	0	134	176487784	
0000919574-25-004639	2	11	1645236037	
0000919574-25-004628	0	43	5832869392	
0000919574-25-004644	0	0	0	Y
0000919574-25-004641	0	3	249664768	
0000919574-25-004627	1	26	213080953	
0001214659-25-012011	0	517	50099954663	
0001666736-25-000008	0	316	2587124790	N
0001681662-25-000004	0	37	66860	N
0000919574-25-004687	3	51	769940911	
0000932540-25-000034	0	8339	45197586657	N
0001104659-25-077729	0	251	268824869	
0001986152-25-000067	0	94	462779463	N
0001420506-25-001993	0	67	227220650	N
0001140361-25-030927	1	1480	8128236554	
0000919574-25-004655	0	13	2648470384	
0000919574-25-004657	0	19	51303799	
0001172661-25-003237	0	33	4994660284	
0001768111-25-000011	0	24	2111264552	N
0000919574-25-004698	0	361	611159538	
0000919574-25-004699	2	1	12202502	
0001910312-25-000003	0	60	101172	N
0000919574-25-004660	1	46	465336847	
0001938514-25-000006	0	656	391572822	N
0000919574-25-004663	1	189	59979893472	
0000919574-25-004659	0	38	177286278	
0001845199-25-000004	0	415	177073996	N
0001104659-25-077736	0	210	407573395	
0000919574-25-004629	1	21	179115900	
0002063952-25-000003	0	79	151117192	N
0001993352-25-000005	0	109	484876027	N
0001967261-25-000004	0	58	155455541	N
0001420506-25-001991	0	59	21046820	N
0001846311-25-000002	0	71	791775	N
0001986152-25-000068	0	44	117246598	N
0001635409-25-000005	1	0	0	N
0001951757-25-001086	1	118	296463054	N
0001832158-25-000005	1	341	471788706	N
0001172661-25-003231	0	84	403915573	
0001140361-25-030867	0	433	872262476	
0001172661-25-003226	0	615	2644130697	
0001213900-25-075837	0	11	6509617	
0001172661-25-003225	0	1624	23071237805	
0001221073-25-000080	0	147	351034571	
0002043129-25-000004	0	135	211802	N
0000919574-25-004625	0	48	122019728	
0001221073-25-000079	0	65	256822836	
0001221073-25-000078	0	86	187067245	
0001221073-25-000077	0	355	527076566	
0000949509-25-000005	2	46	57644039	N
0001172661-25-003221	0	31	188727324	
0001172661-25-003219	0	165	376595953	
0001085146-25-005042	0	1	5411052	N
0001085146-25-005041	0	66	1080417886	N
0001085146-25-005040	0	354	1041202841	N
0001085146-25-005039	0	191	636356914	N
0001172661-25-003216	2	45	4704514584	
0001213900-25-075815	0	82	539520828	
0000919574-25-004622	1	4	79866769	
0001085146-25-005038	0	0	0	N
0001085146-25-005037	0	0	0	N
0000949509-25-000004	2	178	5814694465	N
0001085146-25-005036	0	0	0	N
0001085146-25-005035	0	0	0	N
0001770940-25-000004	0	27	43784650	N
0001085146-25-005034	5	3063	75964986977	
0001172661-25-003212	0	64	109022271	
0001085146-25-005033	0	20	142131996	N
0001085146-25-005032	0	100	1161193845	N
0001085146-25-005031	0	1	0	N
0001172661-25-003209	0	61	96057467	
0001172661-25-003210	18	4863	289689243871	
0001085146-25-005030	0	48	435809904	N
0001085146-25-005029	0	168	279768756	N
0001172661-25-003208	0	232	209577012	
0001541496-25-000013	0	129	748389875	
0001085146-25-005028	0	240	946147014	N
0001652327-25-000006	0	17	284194845	N
0002011821-25-000005	0	193	402342538	N
0000919574-25-004616	1	3	146416260	
0000950123-25-007852	0	8	52949981	N
0000918893-25-000006	0	77	412529727	
0001691304-25-000005	1	13	215600331	N
0001172661-25-003198	0	492	1463627825	
0001172661-25-003195	2	2	75272883	
0001214659-25-012000	0	93	411674817	
0001691813-25-000015	0	7	997064930	N
0001172661-25-003192	3	715	10763814207	Y
0001809494-25-000004	0	29	85357225	N
0001172661-25-003189	0	29	1550023356	
0001398344-25-015319	0	108	280419573	
0001466697-25-000016	0	915	2709067	N
0001956564-25-000005	0	92	242159279	N
0001172661-25-003185	0	404	782772690	
0001719087-25-000007	1	316	187424251	N
0001303159-25-000004	0	549	9021532772	N
0001569638-25-000006	1	157	583353	N
0001318757-25-000034	4	5574	88778648031	N
0001504941-25-000006	0	140	849358165	N
0001967018-25-000003	0	125	383335186	N
0001420506-25-001976	0	19	291944383	N
0001172661-25-003175	0	206	974256740	
0001172661-25-003174	0	8	235765452	
0001398344-25-015312	0	83	3438158952	
0001172661-25-003170	2	622	19329915189	
0001420506-25-001973	0	89	136188867	N
0000950123-25-007843	0	219	177974737449	N
0001062993-25-014308	0	40	575932977	N
0001415889-25-021657	0	5	719564171	N
0001172661-25-003169	0	33	928153110	
0001172661-25-003168	0	335	1007544661	
0001218749-25-000006	0	39	290560197	N
0001742435-25-000005	0	477	900584307	N
0001940461-25-000006	0	39	35784366	N
0000950123-25-007841	0	5	215970187	N
0001811739-25-000003	0	124	1321806	N
0001691813-25-000013	0	6	187379712	N
0001941369-25-000006	0	147	149723687	N
0002011250-25-000005	0	90	95955890	N
0001172661-25-003164	0	6	90491629	
0000919574-25-004593	0	0	0	
0001892688-25-000146	0	23	932576921	N
0001172661-25-003158	0	225	473451617	
0001083831-25-000011	5	3057	57030939081	N
0001172661-25-003157	4	133	1015684182	
0000935836-25-000497	0	59	101927543	
0001140361-25-030817	0	184	164327030	
0001140361-25-030816	0	1222	14084112039	
0001140361-25-030815	0	265	651139887	
0001140361-25-030814	0	1048	10122302820	
0001420506-25-001963	0	58	178845033	N
0001415889-25-021647	1	1	0	N
0000905148-25-002856	7	3946	9078718409	
0001754960-25-000603	0	49	136357508	N
0001689933-25-000004	0	274	766042555	N
0001661140-25-000003	0	109	3917352161	
0001708828-25-000029	0	35	12397824	N
0001415889-25-021644	0	90	714455988	N
0001667731-25-001115	0	85	431690342	
0001632813-25-000003	2	305	9038127	N
0001766904-25-000003	28	2961	206645527	N
0001667731-25-001114	0	24	344439586	
0000814375-25-000046	1	61	4248392118	N
0001214659-25-011980	0	196	336072205	
0001835730-25-000006	0	39	1208226267	N
0001995612-25-000007	0	14	265241761	N
0001628280-25-040153	1	1	0	Y
0001137774-25-000134	0	246	4853926719	N
0001667731-25-001113	0	102	388774788	
0000945621-25-000761	0	2	18861724	
0001420506-25-001961	0	38	159588843	N
0001757282-25-000005	0	90	239520	N
0001754960-25-000601	0	230	630138505	N
0001999371-25-011256	0	91	732191133	
0001061768-25-000005	0	23	4130042	N
0001708828-25-000028	0	683	25064289905	N
0001104659-25-077579	0	2	148710752	
0000913760-25-000177	3	869	2057334007	
0000902664-25-003557	0	6	111259076	
0001628280-25-040147	1	11	334597257	N
0001535845-25-000009	0	1086	51385183331	N
0001104659-25-077571	0	118	1594952679	
0001427119-25-000011	1	13	3650749574	N
0001906719-25-000003	0	56	283471993	N
0001628280-25-040146	1	2721	17029090697	N
0001314273-25-000005	0	43	843021	N
0001719165-25-000009	1	275	5854643	N
0001104659-25-077566	1	109	1309443683	
0001104659-25-077563	2	184	425296923	
0001099219-25-000198	0	6	10392142	N
